target	gRNA	log2_NGFRhi_FC	meanNumCells	meanlFC	sdlFC	selFC
KDM2A	KDM2A_E8_93.6	-1.61934140419571	5931.66666666667	-1.32134088562461	1.40059435414661	0.808633527392015
KLF6	KLF6_E3_65.2	1.41895238864068	7908	1.34252054415791	0.721362025533957	0.416478559625204
KMT2D	KMT2D_e52_109.3	-1.27549978851853	2595.5	-0.822818875919201	0.640187486025403	0.452680912599331
LATS2	LATS2_PKc_E8_366.32	2.17797657158478	6045.33333333333	2.68124513092723	0.442134149968397	0.255266270502181
LHX1	LHX1_E3_135.5	-1.24150545978447	4612.66666666667	-0.482382169260124	1.09744057664479	0.63360761234549
MAFA	MAFA_E1_273.36	-1.15379755965401	8161	-1.03104575389412	1.35006958081392	0.779463035907641
MAP2K7	MAP2K7_PKc_E5_114.12	-1.6906767772516	7616	-1.74234108485364	0.600865370777376	0.346909783565043
MAP3K1	MAP3K1_PKc_E17_132.1	-2.10019973109134	6500	-1.76583481261474	0.472863402491389	0.334364918476605
MAPK1	MAPK1_PKc_E6_132.9	1.16667034482497	3986.5	0.878016215938479	0.624830177920533	0.312415088960267
MAPKAPK2	MAPKAPK2_PKc_E2_140.8	0.507024865327906	4477.66666666667	0.590180717018511	0.245693910876712	0.141851445582921
MITF	MITF_E9_76.3	1.58206131587843	1749	1.58206131587843	NA	NA
MTF1	MTF1_E3_215.13	2.79999445599943	3232	1.94349996901381	1.26788944849692	0.732016314392381
MYBL1	MYBL1_E5_221.14	2.93551497802167	5950.66666666667	2.07319730696985	0.817546656298464	0.472010782088997
NFAT5	NFAT5_E6_114.1	-0.440405477976857	4555	-0.440405477976857	NA	NA
NFATC2	NFATC2_E4_203.6	0.188515530430505	3527	-0.534185350055065	0.837841094130727	0.483727781234506
NFYA	NFYA_E8_105.2	-0.758063616981472	1732.5	0.197778939799822	1.35176550729348	0.955842556781294
NR1I2	NR1I2_E4_50.1	0.159353282573741	4704	0.371642027206867	0.300221621799325	0.212288744633126
NSD1	NSD1_e20_142.4	0.167154064876735	2081	-0.539570511479293	0.999459480745074	0.706724576356027
PBRM1	PBRM1_E26_202.8	0.760481241477978	4628	0.197086183136386	1.89364575324649	1.09329688538665
PKN2	PKN2_PKc_E19_143.9	-2.82205051921167	3678	-1.89752007068876	1.30748349912797	0.924530448522903
PLK1	PLK1_PKc_E3_145.19	1.51877658837735	2220	1.21427583223296	0.430629099092255	0.304500756144387
PLK2	PLK2_PKc_E5_88.5	-0.0790587246556384	7875	-0.308567011073853	0.224660790473633	0.129707967856306
PRKAA1	PRKAA1_PKc_E1_58.5	1.77176118785106	3604	1.29218851511433	0.470929208040917	0.271891105031681
PRKCE	PRKCE_PKc_E13_189.18	-0.137124943057966	7187	0.606564070641523	1.05173508936169	0.743689013699488
PRKRIR	PRKRIR_E1_80.9	2.96980796662625	778	2.81451481072465	0.219617687219765	0.155293155901602
PRPF4B	PRPF4B_PKc_E11_154.2	0.758480471112753	3401	-0.137678331766595	1.26735993307201	0.896158802879348
PTK2	PTK2_PKc_E18_101.4	-0.149005278188163	6321	-1.28774489649063	1.1797789421373	0.681145689827222
RAF1	RAF1_PKc_E12_177.12	0.473012171267419	3762	0.148127706800701	0.896671512306082	0.517693539004585
RELB	RELB_E4_132.15	1.24100301512158	3298.33333333333	1.00679995681293	0.235650089773713	0.136052642765413
RIPK2	RIPK2_PKc_E1_116.3	1.37262836676982	2155.5	1.14514635721634	0.321708143106412	0.227482009553476
RUNX3	RUNX3_E2_126.1	0.923587345808948	5823.66666666667	1.7080552610487	0.693087987165844	0.400154535962296
SETD1B	SETD1B_e15_95.7	2.19614491140295	1295.5	1.60779515575544	0.832052203855594	0.588349755647502
SIX5	SIX5_E1_156.15	-1.10136871660341	5536.33333333333	-0.319258147686495	0.808776239602808	0.466947179648854
SOX5	SOX5_E13_109.0	0.702480023617025	3421.5	-0.29606677598486	1.41215842666124	0.998546799601885
SP1	SP1_E5_200.7	0.102676519209949	5055	0.00934066479850448	0.131996831164346	0.0933358544114447
SRC	SRC_PKc_E14_206	0.730568530508365	3839.33333333333	-0.0316274474155521	0.677598261153827	0.391211538479584
SRF	SRF_E2_156.0	2.98639635769149	1708.5	1.47637748107322	2.13548917475295	1.51001887661827
STK11	STK11_PKc_E4_133.16	-3.32977002100036	3519	-2.76941993007282	1.6461496098394	0.950404920367176
SUV420H1	SUV420H1_e9_105.1	2.34206174143555	4703.66666666667	1.5270459786796	1.60064776206734	0.92413441630735
TADA2B	TADA2B_E2_73.10	0.706781705836742	5913.33333333333	0.496053610440209	0.405286107581221	0.233992043310834
TGIF1	TGIF1_E2_138.5	-0.472298979436118	5404.66666666667	-0.428952686544792	0.486879166013025	0.281099817560441
TLK2	TLK2_PKc_E20_139	-1.40231445060486	5747.66666666667	-1.02354010322075	0.370587402206263	0.21395873642207
TP73	TP73_E5_187.12	-0.371235967761947	6225	-0.162172763275672	0.29566001917767	0.209063204486275
VDR	VDR_E3_101.1	0.300544260788552	5440.66666666667	0.289382463875803	0.761466624203621	0.439632960462876
VEZF1	VEZF1_E2_78.5	-2.50676116462297	7416.5	-1.78124162056723	1.02603957897038	0.725519544055743
YBX1	YBX1_E4_90.5	-0.43655436228892	4227	-0.69663698251593	0.367812368862569	0.26008262022701
ZBTB17	ZBTB17_E12_121.8	-1.9747151465044	3894.33333333333	0.0101575680700369	1.84479437119622	1.06509252680964
ZEB2	ZEB2_E8_1970.33	-0.999921410273236	4178.33333333333	-0.237703326669636	0.777111385329152	0.448665467510109
ZFP57	ZFP57_E4_768.120	-0.955145340008521	9145.66666666667	-1.33932091591286	0.545748080702544	0.315087801303335
ZFX	ZFX_E10_1119.23	-1.19023805953363	3224.5	-0.522614248781629	0.944162647728689	0.667623810752001
neg	neg01	-1.25871369323822	5768	-0.363118000738735	1.04702838961895	0.331099448605408
WT	WT-1	-0.354427301275639	5638.11111111111	0.410231350571638	1.0515427480179	0.247851002610331

